Kanji,RTK Keyword,RTK 6th Keyword,Kanji English Meaning,KANJIDIC Index,JIS Index,Kanji Frequency,RTK 4th Index,RTK 6th Index,2k1 Index,Opt Group,Opt Index,KKLC Index,Genki Index,Kanji Freq Group,Opt Vocab Sort Index,Opt Kanji Sort Index,Kanji Stroke Count,RTK2 Index,KanKen Group,Top 6 Vocab,Top 6 Vocab Closed,Top 6 English,Top 6 English Closed,Onyomi (* = not common),Kunyomi (* = not common),Onyomi Words Kanji,Onyomi Words Kana,Kunyomi Words Kanji,Kunyomi Words Kana,Primitives English,Primitives Japanese,Yomi,Yomi with Names,Story
々,noma,noma,"NOMA repeat mark, beggar, beg, give",2967,5022,0,0,0,0,0,0,0,133,1,2682,2682,4,0,1,,,,,,,,,,,,,カイ    こ.う    ,カイ    こ.う    ,
一,one,one,one,76,306C,2,1,1,1,1,1,2,1,1,1756,1911,1,965,10,"一[ -いち- ],  一つ[ -ひとつ- ],  一番[ -いちばん- ],  一人[ -ひとり- ],  一緒に[ -いっしょに- ],  一緒[ -いっしょ- ]","__[ -いち- ],  __つ[ -ひとつ- ],  __番[ -いちばん- ],  __人[ -ひとり- ],  __緒に[ -いっしょに- ],  __緒[ -いっしょ- ]","一[ -one- ],  一つ[ -one (thing)- ],  一番[ -most, best- ],  一人[ -one person- ],  一緒に[ -together, at the same time- ],  一緒[ -together- ]","__[ -one- ],  __つ[ -one (thing)- ],  __番[ -most, best- ],  __人[ -one person- ],  __緒に[ -together, at the same time- ],  __緒[ -together- ]",イチ、イツ,ひと、ひと-つ,"[一度, 一座, 第一];  [一般, 同一, 統一]","[いちど, いちざ, だいいち]; [いっぱん, どういつ, とういつ]",一; 一つ,ひと; ひと.つ,",One,",",ichi,iti,",イチ    イツ    ひと-    ひと.つ    ,イチ    イツ    ひと-    ひと.つ    Name Readings:  かず    い    いっ    いる    かつ    かづ    てん    はじめ    ひ    ひとつ    まこと    ,
二,two,two,two,2151,4673,18,2,2,2,1,2,3,2,1,2959,2959,2,1,10,"二[ -に- ],  二つ[ -ふたつ- ],  二日[ -ふつか- ],  二十日[ -はつか- ],  二人[ -ふたり- ],  二階[ -にかい- ]","__[ -に- ],  __つ[ -ふたつ- ],  __日[ -ふつか- ],  __十日[ -はつか- ],  __人[ -ふたり- ],  __階[ -にかい- ]","二[ -two- ],  二つ[ -two (things)- ],  二日[ -two days, second of the month- ],  二十日[ -20 days, 20th of the month- ],  二人[ -two persons- ],  二階[ -second floor, upstairs- ]","__[ -two- ],  __つ[ -two (things)- ],  __日[ -two days, second of the month- ],  __十日[ -20 days, 20th of the month- ],  __人[ -two persons- ],  __階[ -second floor, upstairs- ]",ニ,ふた、ふた-つ,"[二番目, 二分, 十二月]","[にばんめ, にぶん, じゅうにがつ]",二; 二つ,ふた; ふた.つ,",two,",",ni,",ニ    ジ    ふた    ふた.つ    ふたた.び    ,ニ    ジ    ふた    ふた.つ    ふたた.び    Name Readings:  おと    つぐ    にい    は    ふ    ふたつ    ふだ    わ    ,
三,three,three,three,1050,3B30,32,3,3,3,1,3,4,3,1,2237,2237,3,2,10,"三[ -さん- ],  三つ[ -みっつ- ],  三日[ -みっか- ],  三角[ -さんかく- ],  三角形[ -さんかっけい- ],  三日月[ -みかづき- ]","__[ -さん- ],  __つ[ -みっつ- ],  __日[ -みっか- ],  __角[ -さんかく- ],  __角形[ -さんかっけい- ],  __日月[ -みかづき- ]","三[ -three- ],  三つ[ -three (things)- ],  三日[ -three days, third of the month- ],  三角[ -triangle- ],  三角形[ -triangle- ],  三日月[ -crescent moon- ]","__[ -three- ],  __つ[ -three (things)- ],  __日[ -three days, third of the month- ],  __角[ -triangle- ],  __角形[ -triangle- ],  __日月[ -crescent moon- ]",サン,み、み-つ、みっ-つ,"[三角, 三流, 再三]","[さんかく, さんりゅう, さいさん]",三; 三つ; 三つ,み; み.つ; みっ.つ,",three,",",sann,",サン    ゾウ    み    み.つ    みっ.つ    ,サン    ゾウ    み    み.つ    みっ.つ    Name Readings:  か    さ    さい    さえ    さぶ    ざ    ざえ    ざぶ    そう    ぞ    ただ    みつ    みん    も    や    ,
四,four,four,four,1079,3B4D,94,4,4,4,1,4,6,4,1,2053,2053,5,967,10,"四[ -よん- ],  四つ[ -よっつ- ],  四日[ -よっか- ],  四つ角[ -よつかど- ],  四角い[ -しかくい- ],  四角[ -しかく- ]","__[ -よん- ],  __つ[ -よっつ- ],  __日[ -よっか- ],  __つ角[ -よつかど- ],  __角い[ -しかくい- ],  __角[ -しかく- ]","四[ -four (Japanese origin)- ],  四つ[ -four (things)- ],  四日[ -four days, fourth of the month- ],  四つ角[ -intersection- ],  四角い[ -square- ],  四角[ -square- ]","__[ -four (Japanese origin)- ],  __つ[ -four (things)- ],  __日[ -four days, fourth of the month- ],  __つ角[ -intersection- ],  __角い[ -square- ],  __角[ -square- ]",シ,よ、よ-つ、よっ-つ、よん,"[四角, 四季, 四十七士]","[しかく, しき, しじゅうしちし]",四; 四つ; 四つ; 四,よ; よ.つ; よっ.つ; よん,",four,pent in,human legs,",",hitoashi,hitoasi,kunigamae,",シ    よ    よ.つ    よっ.つ    よん    ,シ    よ    よ.つ    よっ.つ    よん    Name Readings:  あ    つ    よつ    ,
五,five,five,five,814,385E,80,5,5,5,1,5,7,5,1,1492,1174,4,85,10,"五[ -ご- ],  五つ[ -いつつ- ],  五日[ -いつか- ],  五十音[ -ごじゅうおん- ],  五分[ -ごぶ- ],  四捨五入[ -ししゃごにゅう- ]","__[ -ご- ],  __つ[ -いつつ- ],  __日[ -いつか- ],  __十音[ -ごじゅうおん- ],  __分[ -ごぶ- ],  四捨__入[ -ししゃごにゅう- ]","五[ -five- ],  五つ[ -five (things)- ],  五日[ -five days, fifth of the month- ],  五十音[ -Japanese syllabary- ],  五分[ -fifty percent; five percent- ],  四捨五入[ -rounding off- ]","__[ -five- ],  __つ[ -five (things)- ],  __日[ -five days, fifth of the month- ],  __十音[ -Japanese syllabary- ],  __分[ -fifty percent; five percent- ],  四捨__入[ -rounding off- ]",ゴ,いつ、いつ-つ,"[五穀, 五色, 五目飯]","[ごこく, ごしき, ごもくめし]",五; 五つ,いつ; いつ.つ,",five,",",go,",ゴ    いつ    いつ.つ    ,ゴ    いつ    いつ.つ    Name Readings:  い    さ    さつ    ち    ふ    み    め    ,
六,six,six,six,2941,4F3B,181,6,6,6,1,6,8,6,1,901,743,4,971,10,"六[ -ろく- ],  六日[ -むいか- ],  六つ[ -むっつ- ]  ,  ","__[ -ろく- ],  __日[ -むいか- ],  __つ[ -むっつ- ]  ,  ","六[ -six- ],  六日[ -six days, sixth of the month- ],  六つ[ -six (things)- ]  ,  ","__[ -six- ],  __日[ -six days, sixth of the month- ],  __つ[ -six (things)- ]  ,  ",ロク,む、む-つ、むっ-つ、むい*,"[六月, 六法, 丈六]","[ろくがつ, ろっぽう, たけろく]",六; 六つ; 六つ,む; む.つ; むっ.つ,",six,top hat,animal legs,",",nabebuta,hachi,hati,",ロク    リク    む    む.つ    むっ.つ    むい    ,ロク    リク    む    む.つ    むっ.つ    むい    Name Readings:  く    むつ    ろっ    ろつ    ,
七,seven,seven,seven,1151,3C37,202,7,7,7,1,7,9,7,1,1862,1984,2,968,10,"七[ -なな- ],  七日[ -なのか- ],  七つ[ -ななつ- ],  七夕[ -たなばた- ]  ","__[ -なな- ],  __日[ -なのか- ],  __つ[ -ななつ- ],  __夕[ -たなばた- ]  ","七[ -seven (Japanese origin)- ],  七日[ -seven days, seventh of the month- ],  七つ[ -seven (things)- ],  七夕[ -The Star Festival- ]  ","__[ -seven (Japanese origin)- ],  __日[ -seven days, seventh of the month- ],  __つ[ -seven (things)- ],  __夕[ -The Star Festival- ]  ",シチ,なな、なな-つ、なの*,"[七五三, 七福神]","[しちごさん, しちふくじん]",七; 七つ,なな; なな.つ,",seven,diced,",",nana,shichi,siti,",シチ    なな    なな.つ    なの    ,シチ    なな    なな.つ    なの    Name Readings:  し    しっ    な    ひち    ,
八,eight,eight,eight,2268,482C,155,8,8,8,1,8,10,8,1,3012,3012,2,1159,10,"八[ -はち- ],  八日[ -ようか- ],  八つ[ -やっつ- ],  八百屋[ -やおや- ],  八つ当たり[ -やつあたり- ],  ","__[ -はち- ],  __日[ -ようか- ],  __つ[ -やっつ- ],  __百屋[ -やおや- ],  __つ当たり[ -やつあたり- ],  ","八[ -eight- ],  八日[ -eight days, eighth of the month- ],  八つ[ -eight (things)- ],  八百屋[ -greengrocery, vegetable shop- ],  八つ当たり[ -unjustified outburst of anger- ],  ","__[ -eight- ],  __日[ -eight days, eighth of the month- ],  __つ[ -eight (things)- ],  __百屋[ -greengrocery, vegetable shop- ],  __つ当たり[ -unjustified outburst of anger- ],  ",ハチ,や、や-つ、やっ-つ、よう*,"[八月, 八方]","[はちがつ, はっぽう]",八; 八つ; 八つ,や; や.つ; やっ.つ,",eight,",",hachi,hati,",ハチ    や    や.つ    やっ.つ    よう    ,ハチ    や    や.つ    やっ.つ    よう    Name Readings:  な    は    はっ    はつ    やち    やつ    T2はちがしら    ,
九,nine,nine,nine,633,3665,223,9,9,9,1,9,11,9,1,2442,2442,2,969,10,"九[ -きゅう- ],  九日[ -ここのか- ],  九つ[ -ここのつ- ]  ,  ","__[ -きゅう- ],  __日[ -ここのか- ],  __つ[ -ここのつ- ]  ,  ","九[ -nine- ],  九日[ -nine days, ninth of the month- ],  九つ[ -nine (things)- ]  ,  ","__[ -nine- ],  __日[ -nine days, ninth of the month- ],  __つ[ -nine (things)- ]  ,  ",キュウ、ク,ここの、ここの-つ,"[九百, 三拝九拝];  [九分九厘, 九月]","[きゅうひゃく, さんはいきゅうはい]; [くぶくりん, くがつ]",九; 九つ,ここの; ここの.つ,",nine,baseball,",",kyuu,ku,",キュウ    ク    ここの    ここの.つ    ,キュウ    ク    ここの    ここの.つ    Name Readings:  いちじく    いちのく    この    ひさし    ,
十,ten,ten,ten,1251,3D3D,31,10,10,10,1,10,5,10,1,2416,2416,2,971,10,"十[ -じゅう- ],  十日[ -とおか- ],  二十日[ -はつか- ],  十分[ -じゅうぶん- ],  二十歳[ -はたち- ],  何十[ -なんじゅう- ]","__[ -じゅう- ],  __日[ -とおか- ],  二__日[ -はつか- ],  __分[ -じゅうぶん- ],  二__歳[ -はたち- ],  何__[ -なんじゅう- ]","十[ -ten- ],  十日[ -ten days, tenth of the month- ],  二十日[ -20 days, 20th of the month- ],  十分[ -enough, plentiful- ],  二十歳[ -20 years old- ],  何十[ -several tens- ]","__[ -ten- ],  __日[ -ten days, tenth of the month- ],  二__日[ -20 days, 20th of the month- ],  __分[ -enough, plentiful- ],  二__歳[ -20 years old- ],  何__[ -several tens- ]",ジュウ、ジッ,とお、と,"[十字架, 十文字];  [十回]","[じゅうじか, じゅうもんじ]; [じゅうかい]",十; 十,と; とお,",ten,needle,",",juu,",ジュウ    ジッ    ジュッ    とお    と    ,ジュウ    ジッ    ジュッ    とお    と    Name Readings:  い    か    ぎ    さ    し    そ    そう    ち    とう    ね    ま    る    わ    ,
口,mouth,mouth,mouth,845,387D,56,11,11,57,1,11,19,48,1,935,1074,3,1556,10,"口[ -くち- ],  改札口[ -かいさつぐち- ],  入り口[ -いりぐち- ],  出口[ -でぐち- ],  悪口[ -わるくち- ],  早口[ -はやくち- ]","__[ -くち- ],  改札__[ -かいさつぐち- ],  入り__[ -いりぐち- ],  出__[ -でぐち- ],  悪__[ -わるくち- ],  早__[ -はやくち- ]","口[ -mouth- ],  改札口[ -ticket gate- ],  入り口[ -entrance- ],  出口[ -exit- ],  悪口[ -slander, abuse- ],  早口[ -speaking fast- ]","__[ -mouth- ],  改札__[ -ticket gate- ],  入り__[ -entrance- ],  出__[ -exit- ],  悪__[ -slander, abuse- ],  早__[ -speaking fast- ]",コウ、ク,くち,"[口述, 人口, 開口];  [口調, 口伝, 異口同音]","[こうじゅつ, じんこう, かいこう]; [くちょう, くでん, いくどうおん]",口,くち,",mouth,",",kuchi,kuti,",コウ    ク    くち    ,コウ    ク    くち    ,
日,day,day,"day, sun, Japan",2160,467C,17,12,12,19,1,12,1,16,1,2824,2824,4,561,10,"日[ -にち- ],  今日[ -きょう- ],  昨日[ -きのう- ],  日曜日[ -にちようび- ],  日曜日[ -にちようび- ],  土曜日[ -どようび- ]","__[ -にち- ],  今__[ -きょう- ],  昨__[ -きのう- ],  __曜__[ -にちようび- ],  __曜__[ -にちようび- ],  土曜__[ -どようび- ]","日[ -counter for days- ],  今日[ -today- ],  昨日[ -yesterday (colloquial)- ],  日曜日[ -Sunday- ],  日曜日[ -Sunday- ],  土曜日[ -Saturday- ]","__[ -counter for days- ],  今__[ -today- ],  昨__[ -yesterday (colloquial)- ],  __曜__[ -Sunday- ],  __曜__[ -Sunday- ],  土曜__[ -Saturday- ]",ニチ、ジツ,ひ、か,"[日時, 日光, 毎日];  [連日, 平日, 休日]","[にちじ, にっこう, まいにち]; [れんじつ, へいじつ, きゅうじつ]",日; 日,か; ひ,",day,sun,",",nichi,jitsu,",ニチ    ジツ    ひ    -び    -か    ,ニチ    ジツ    ひ    -び    -か    Name Readings:  あ    あき    いる    く    くさ    こう    す    たち    に    にっ    につ    へ    ,
月,month,month,"month, moon",736,376E,95,13,13,20,1,13,23,19,1,2058,2058,4,546,10,"月[ -つき- ],  今月[ -こんげつ- ],  月曜日[ -げつようび- ],  毎月[ -まいつき- ],  先月[ -せんげつ- ],  正月[ -しょうがつ- ]","__[ -つき- ],  今__[ -こんげつ- ],  __曜日[ -げつようび- ],  毎__[ -まいつき- ],  先__[ -せんげつ- ],  正__[ -しょうがつ- ]","月[ -moon- ],  今月[ -this month- ],  月曜日[ -Monday- ],  毎月[ -every month- ],  先月[ -last month- ],  正月[ -New Year- ]","__[ -moon- ],  今__[ -this month- ],  __曜日[ -Monday- ],  毎__[ -every month- ],  先__[ -last month- ],  正__[ -New Year- ]",ゲツ、ガツ,つき,"[月曜, 明月, 歳月];  [正月, 九月]","[げつよう, めいげつ, さいげつ]; [しょうがつ, くがつ]",月,つき,",month,moon,month,flesh,part of the body,",",tsuki,getsu,",ゲツ    ガツ    つき    ,ゲツ    ガツ    つき    Name Readings:  おと    がっ    す    ずき    もり    ,
田,rice field,rice field,"rice field, rice paddy",2010,4544,78,14,14,67,1,14,20,37,1,413,480,5,1862,10,"田舎[ -いなか- ],  田植え[ -たうえ- ],  田[ -た- ],  田んぼ[ -たんぼ- ],  水田[ -すいでん- ],  田畑[ -たはた- ]","__舎[ -いなか- ],  __植え[ -たうえ- ],  __[ -た- ],  __んぼ[ -たんぼ- ],  水__[ -すいでん- ],  __畑[ -たはた- ]","田舎[ -hometown, countryside- ],  田植え[ -rice planting- ],  田[ -rice field, rice paddy- ],  田んぼ[ -rice field- ],  水田[ -paddy field, rice paddy- ],  田畑[ -fields and rice paddies- ]","__舎[ -hometown, countryside- ],  __植え[ -rice planting- ],  __[ -rice field, rice paddy- ],  __んぼ[ -rice field- ],  水__[ -paddy field, rice paddy- ],  __畑[ -fields and rice paddies- ]",デン,た,"[田地, 水田, 油田]","[たち, すいでん, ゆでん]",田,た,",rice field,brains,",",den,ta,",デン    た    ,デン    た    Name Readings:  いなか    おか    たん    で    とう    や    ,
目,eye,eye,"eye, class, look, insight, experience, care, favor",2692,4C5C,30,15,15,56,1,15,21,225,1,2502,2502,5,1129,10,"目[ -め- ],  駄目[ -だめ- ],  注目[ -ちゅうもく- ],  目立つ[ -めだつ- ],  目的[ -もくてき- ],  真面目[ -まじめ- ]","__[ -め- ],  駄__[ -だめ- ],  注__[ -ちゅうもく- ],  __立つ[ -めだつ- ],  __的[ -もくてき- ],  真面__[ -まじめ- ]","目[ -eye- ],  駄目[ -no good- ],  注目[ -attention, notice- ],  目立つ[ -stand out, be conspicuous- ],  目的[ -objective, purpose- ],  真面目[ -serious, earnest- ]","__[ -eye- ],  駄__[ -no good- ],  注__[ -attention, notice- ],  __立つ[ -stand out, be conspicuous- ],  __的[ -objective, purpose- ],  真面__[ -serious, earnest- ]",モク、ボク*,め、ま*,"[目的, 目前, 項目];  [面目]","[もくてき, もくぜん, こうもく]; [めんぼく]",目,め,",eye,",",me,",モク    ボク    め    -め    ま-    ,モク    ボク    め    -め    ま-    Name Readings:  さかん    さがん    さっか    さつか    ,
古,old,old,old,789,3845,314,16,16,217,1,16,254,99,1,357,321,5,1215,9,"古い[ -ふるい- ],  中古[ -ちゅうこ- ],  稽古[ -けいこ- ],  古代[ -こだい- ],  古典[ -こてん- ],  古本[ -ふるほん- ]","__い[ -ふるい- ],  中__[ -ちゅうこ- ],  稽__[ -けいこ- ],  __代[ -こだい- ],  __典[ -こてん- ],  __本[ -ふるほん- ]","古い[ -old- ],  中古[ -secondhand (used) goods- ],  稽古[ -practice, training- ],  古代[ -ancient times- ],  古典[ -classics- ],  古本[ -secondhand book, used book- ]","__い[ -old- ],  中__[ -secondhand (used) goods- ],  稽__[ -practice, training- ],  __代[ -ancient times- ],  __典[ -classics- ],  __本[ -secondhand book, used book- ]",コ,ふる-い、ふる-す,"[古代, 古典, 太古]","[こだい, こてん, たいこ]",古い; 古す,ふる.い; ふる.す,",old,tombstone,gravestone,church,ten,needle,mouth,",",juu,kuchi,kuti,",コ    ふる.い    ふる-    -ふる.す    ,コ    ふる.い    ふる-    -ふる.す    Name Readings:  ふゆ    ,
明,bright,bright,"bright, light",2664,4C40,69,20,20,88,1,17,24,120,1,522,204,8,436,9,"説明[ -せつめい- ],  明日[ -あした- ],  明るい[ -あかるい- ],  明後日[ -あさって- ],  明らか[ -あきらか- ],  明確[ -めいかく- ]","説__[ -せつめい- ],  __日[ -あした- ],  __るい[ -あかるい- ],  __後日[ -あさって- ],  __らか[ -あきらか- ],  __確[ -めいかく- ]","説明[ -explanation, description- ],  明日[ -tomorrow (colloquial)- ],  明るい[ -bright, cheerful- ],  明後日[ -day after tomorrow (colloquial)- ],  明らか[ -clear, obvious- ],  明確[ -clear and specific- ]","説__[ -explanation, description- ],  __日[ -tomorrow (colloquial)- ],  __るい[ -bright, cheerful- ],  __後日[ -day after tomorrow (colloquial)- ],  __らか[ -clear, obvious- ],  __確[ -clear and specific- ]",メイ、ミョウ,あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす,"[明暗, 説明, 鮮明];  [明日, 光明, 灯明]","[めいあん, せつめい, せんめい]; [あした, こうみょう, とうみょう]",明かす; 明かり; 明く; 明くる; 明ける; 明らむ; 明るい; 明るむ; 明らか,あ.かす; あ.かり; あ.く; あ.くる; あ.ける; あか.らむ; あか.るい; あか.るむ; あき.らか,",bright,sun,day,moon,month,flesh,part of the body,",",nichi,jitsu,tsuki,getsu,",メイ    ミョウ    ミン    あ.かり    あか.るい    あか.るむ    あか.らむ    あき.らか    あ.ける    -あ.け    あ.く    あ.くる    あ.かす    ,メイ    ミョウ    ミン    あ.かり    あか.るい    あか.るむ    あか.らむ    あき.らか    あ.ける    -あ.け    あ.く    あ.くる    あ.かす    Name Readings:  あきら    あけ    あす    きら    け    さや    さやか    とし    はる    み    め    ,
品,goods,goods,"goods, refinement, dignity, article, counter for meal courses",2392,494A,371,23,23,194,1,18,301,218,1,729,602,9,1582,8,"品物[ -しなもの- ],  作品[ -さくひん- ],  商品[ -しょうひん- ],  製品[ -せいひん- ],  品[ -しな- ],  品切れ[ -しなぎれ- ]","__物[ -しなもの- ],  作__[ -さくひん- ],  商__[ -しょうひん- ],  製__[ -せいひん- ],  __[ -しな- ],  __切れ[ -しなぎれ- ]","品物[ -article, goods- ],  作品[ -work of art, creation- ],  商品[ -goods, commodities- ],  製品[ -product- ],  品[ -goods, item- ],  品切れ[ -sold out- ]","__物[ -article, goods- ],  作__[ -work of art, creation- ],  商__[ -goods, commodities- ],  製__[ -product- ],  __[ -goods, item- ],  __切れ[ -sold out- ]",ヒン,しな,"[品評, 作品, 上品]","[ひんぴょう, さくひん, じょうひん]",品,しな,",goods,mouth,mouth3,",",kuchi,kuti,",ヒン    ホン    しな    ,ヒン    ホン    しな    ,
早,early,early,"early, fast",1663,4161,215,26,26,376,1,19,143,135,1,3023,3023,6,1835,10,"早い[ -はやい- ],  早く[ -はやく- ],  早速[ -さっそく- ],  早起き[ -はやおき- ],  早口[ -はやくち- ],  素早い[ -すばやい- ]","__い[ -はやい- ],  __く[ -はやく- ],  __速[ -さっそく- ],  __起き[ -はやおき- ],  __口[ -はやくち- ],  素__い[ -すばやい- ]","早い[ -early- ],  早く[ -early, soon- ],  早速[ -immediately, right away- ],  早起き[ -getting up early- ],  早口[ -speaking fast- ],  素早い[ -quick- ]","__い[ -early- ],  __く[ -early, soon- ],  __速[ -immediately, right away- ],  __起き[ -getting up early- ],  __口[ -speaking fast- ],  素__い[ -quick- ]",ソウ、サッ*,はや-い、はや-まる、はや-める,"[早期, 早晩, 早々に];  [早速, 早急]","[そうき, そうばん, そうそうに]; [さっそく, さっきゅう]",早い; 早まる; 早める,はや.い; はや.まる; はや.める,",early,sunflower,sun,day,ten,needle,",",juu,nichi,jitsu,",ソウ    サッ    はや.い    はや    はや-    はや.まる    はや.める    さ-    ,ソウ    サッ    はや.い    はや    はや-    はや.まる    はや.める    さ-    Name Readings:  さか    さわ    そ    わ    ,"  The NEEDLE prodded the SUN to get up EARLY, looking like a SUNFLOWER."
世,generation,generation,"generation, world, society, public",1508,4024,101,28,28,164,1,20,604,195,1,2101,2101,5,7,8,"世界[ -せかい- ],  世紀[ -せいき- ],  お世辞[ -おせじ- ],  世代[ -せだい- ],  世の中[ -よのなか- ],  世間[ -せけん- ]","__界[ -せかい- ],  __紀[ -せいき- ],  お__辞[ -おせじ- ],  __代[ -せだい- ],  __の中[ -よのなか- ],  __間[ -せけん- ]","世界[ -world- ],  世紀[ -century- ],  お世辞[ -compliment, flattery- ],  世代[ -generation- ],  世の中[ -the world, society- ],  世間[ -world, the public- ]","__界[ -world- ],  __紀[ -century- ],  お__辞[ -compliment, flattery- ],  __代[ -generation- ],  __の中[ -the world, society- ],  __間[ -world, the public- ]",セイ、セ,よ,"[世紀, 時世, 処世];  [世界, 世間, 出世]","[せいき, じせい, しょせい]; [せかい, せけん, しゅっせ]",世,よ,",generation,ten,twenty,",",",セイ    セ    ソウ    よ    さんじゅう    ,セイ    セ    ソウ    よ    さんじゅう    Name Readings:  とし    ゆ    ゆき    ,
自,oneself,oneself,oneself,1139,3C2B,19,36,36,446,1,21,81,112,1,2192,2192,6,945,9,"自分[ -じぶん- ],  自転車[ -じてんしゃ- ],  自由[ -じゆう- ],  自然[ -しぜん- ],  自動車[ -じどうしゃ- ],  自宅[ -じたく- ]","__分[ -じぶん- ],  __転車[ -じてんしゃ- ],  __由[ -じゆう- ],  __然[ -しぜん- ],  __動車[ -じどうしゃ- ],  __宅[ -じたく- ]","自分[ -self, oneself- ],  自転車[ -bicycle- ],  自由[ -freedom- ],  自然[ -nature- ],  自動車[ -automobile- ],  自宅[ -one's house, one's home- ]","__分[ -self, oneself- ],  __転車[ -bicycle- ],  __由[ -freedom- ],  __然[ -nature- ],  __動車[ -automobile- ],  __宅[ -one's house, one's home- ]",ジ、シ,みずか-ら,"[自分, 自由, 各自];  [自然]","[じぶん, じゆう, かくじ]; [しぜん]",自ら,みずか.ら,",oneself,drop,eye,",",tenn,me,",ジ    シ    みずか.ら    おの.ずから    おの.ずと    ,ジ    シ    みずか.ら    おの.ずから    おの.ずと    Name Readings:  より    ,
白,white,white,white,2244,4772,120,37,37,166,1,22,76,91,1,1193,1268,5,89,10,"白い[ -しろい- ],  面白い[ -おもしろい- ],  白[ -しろ- ],  真っ白[ -まっしろ- ],  青白い[ -あおじろい- ],  白菜[ -はくさい- ]","__い[ -しろい- ],  面__い[ -おもしろい- ],  __[ -しろ- ],  真っ__[ -まっしろ- ],  青__い[ -あおじろい- ],  __菜[ -はくさい- ]","白い[ -white, blank- ],  面白い[ -interesting, amusing- ],  白[ -white- ],  真っ白[ -pure-white- ],  青白い[ -pale- ],  白菜[ -Chinese cabbage- ]","__い[ -white, blank- ],  面__い[ -interesting, amusing- ],  __[ -white- ],  真っ__[ -pure-white- ],  青__い[ -pale- ],  __菜[ -Chinese cabbage- ]",ハク、ビャク,しろ、しら*、しろ-い,"[白髪, 紅白, 明白];  [黒白]","[しらが, こうはく, めいはく]; [くろしろ]",白; 白い,しろ; しろ.い,",white,drop,sun,day,",",tenn,nichi,jitsu,shiro,",ハク    ビャク    しろ    しら-    しろ.い    ,ハク    ビャク    しろ    しら-    しろ.い    Name Readings:  あき    か    はっ    ,
百,hundred,hundred,hundred,2370,4934,264,38,38,11,1,23,16,11,1,2432,2432,6,550,10,"百[ -ひゃく- ],  百貨店[ -ひゃっかてん- ],  何百[ -なんびゃく- ],  八百屋[ -やおや- ],  百科事典[ -ひゃっかじてん- ],  百姓[ -ひゃくしょう- ]","__[ -ひゃく- ],  __貨店[ -ひゃっかてん- ],  何__[ -なんびゃく- ],  八__屋[ -やおや- ],  __科事典[ -ひゃっかじてん- ],  __姓[ -ひゃくしょう- ]","百[ -hundred- ],  百貨店[ -department store- ],  何百[ -several hundred, hundreds- ],  八百屋[ -greengrocery, vegetable shop- ],  百科事典[ -encyclopedia- ],  百姓[ -farmer; peasant- ]","__[ -hundred- ],  __貨店[ -department store- ],  何__[ -several hundred, hundreds- ],  八__屋[ -greengrocery, vegetable shop- ],  __科事典[ -encyclopedia- ],  __姓[ -farmer; peasant- ]",ヒャク,,"[百貨店, 百科全書, 数百]","[ひゃっかてん, ひゃっかぜんしょ, すうひゃく]",,,",hundred,one,ceiling,white,dove,",",ichi,iti,shiro,",ヒャク    ビャク    もも    ,ヒャク    ビャク    もも    Name Readings:  お    ど    どう    なり    ひゃっ    ひゅく    も    もんど    ゆ    ,
中,in,in,"in, inside, middle, mean, center",1856,4366,12,39,39,37,1,24,35,28,1,89,177,4,57,10,"中[ -なか- ],  途中[ -とちゅう- ],  中学[ -ちゅうがく- ],  中学生[ -ちゅうがくせい- ],  中学校[ -ちゅうがっこう- ],  真ん中[ -まんなか- ]","__[ -なか- ],  途__[ -とちゅう- ],  __学[ -ちゅうがく- ],  __学生[ -ちゅうがくせい- ],  __学校[ -ちゅうがっこう- ],  真ん__[ -まんなか- ]","中[ -inside, middle- ],  途中[ -on the way, half way- ],  中学[ -junior high school- ],  中学生[ -junior high school student- ],  中学校[ -junior high school- ],  真ん中[ -center, middle (casual)- ]","__[ -inside, middle- ],  途__[ -on the way, half way- ],  __学[ -junior high school- ],  __学生[ -junior high school student- ],  __学校[ -junior high school- ],  真ん__[ -center, middle (casual)- ]",チュウ,なか,"[中央, 中毒, 胸中]","[ちゅうおう, ちゅうどく, きょうちゅう]",中,なか,",in,stick,mouth,",",kuchi,kuti,",チュウ    なか    うち    あた.る    ,チュウ    なか    うち    あた.る    Name Readings:  あたる    かなえ    ,
千,thousand,thousand,thousand,1577,4069,290,40,40,12,1,25,17,12,1,3122,3122,3,4,10,"千[ -せん- ],  何千[ -なんぜん- ]    ","__[ -せん- ],  何__[ -なんぜん- ]    ","千[ -thousand- ],  何千[ -several thousand, thousands- ]    ","__[ -thousand- ],  何__[ -several thousand, thousands- ]    ",セン,ち,"[千円, 千人力, 千差万別]","[せんえん, せんにんちから, せんさばんべつ]",千,ち,",thousand,drop,ten,needle,",",tenn,juu,",セン    ち    ,セン    ち    Name Readings:  かず    ゆき    ,
