Kanji,RTK Keyword,RTK 6th Keyword,Kanji English Meaning,KANJIDIC Index,JIS Index,Kanji Frequency,RTK 4th Index,RTK 6th Index,2k1 Index,Opt Group,Opt Index,KKLC Index,Genki Index,Kanji Freq Group,Opt Vocab Sort Index,Opt Kanji Sort Index,Kanji Stroke Count,RTK2 Index,KanKen Group,Top 6 Vocab,Top 6 Vocab Closed,Top 6 English,Top 6 English Closed,Onyomi (* = not common),Kunyomi (* = not common),Onyomi Words Kanji,Onyomi Words Kana,Kunyomi Words Kanji,Kunyomi Words Kana,Primitives English,Primitives Japanese,Yomi,Yomi with Names,Story
未,not yet,not yet,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac",2636,4C24,713,216,229,179,2,542,271,,2,3018,3018,5,756,7,"未来[ -みらい- ],  未成年[ -みせいねん- ],  未知[ -みち- ],  未定[ -みてい- ],  未婚[ -みこん- ],  未然[ -みぜん- ]","__来[ -みらい- ],  __成年[ -みせいねん- ],  __知[ -みち- ],  __定[ -みてい- ],  __婚[ -みこん- ],  __然[ -みぜん- ]","未来[ -future- ],  未成年[ -minor, underage- ],  未知[ -unknown- ],  未定[ -state of being undecided- ],  未婚[ -being unmarried, being single- ],  未然[ -in advance- ]","__来[ -future- ],  __成年[ -minor, underage- ],  __知[ -unknown- ],  __定[ -state of being undecided- ],  __婚[ -being unmarried, being single- ],  __然[ -in advance- ]",ミ,,"[未来, 未満, 前代未聞]","[みらい, みまん, ぜんだいみもん]",,,",not yet,tree,wood,one,",",ichi,iti,ki,moku,",ミ    ビ    いま.だ    ま.だ    ひつじ    ,ミ    ビ    いま.だ    ま.だ    ひつじ    ,
末,extremity,extremity,"end, close, tip, powder, posterity",2624,4B76,657,217,230,180,2,543,272,294,2,846,951,5,284,7,"週末[ -しゅうまつ- ],  末[ -すえ- ],  年末[ -ねんまつ- ],  月末[ -げつまつ- ],  末っ子[ -すえっこ- ],  歳末[ -さいまつ- ]","週__[ -しゅうまつ- ],  __[ -すえ- ],  年__[ -ねんまつ- ],  月__[ -げつまつ- ],  __っ子[ -すえっこ- ],  歳__[ -さいまつ- ]","週末[ -weekend- ],  末[ -the end, in the end- ],  年末[ -end of year- ],  月末[ -end of the month- ],  末っ子[ -youngest child- ],  歳末[ -year end- ]","週__[ -weekend- ],  __[ -the end, in the end- ],  年__[ -end of year- ],  月__[ -end of the month- ],  __っ子[ -youngest child- ],  歳__[ -year end- ]",マツ、バツ,すえ,"[末代, 本末, 粉末];  [末子, 末弟]","[まつだい, ほんまつ, ふんまつ]; [まっし, まつおとうと]",末,すえ,",extremity,tree,wood,one,",",ichi,iti,ki,moku,",マツ    バツ    すえ    ,マツ    バツ    すえ    ,
妹,younger sister,younger sister,younger sister,2607,4B65,790,220,234,432,2,544,1206,286,2,551,555,8,759,9,"妹[ -いもうと- ],  姉妹[ -しまい- ]    ","__[ -いもうと- ],  姉__[ -しまい- ]    ","妹[ -younger sister- ],  姉妹[ -sisters- ]    ","__[ -younger sister- ],  姉__[ -sisters- ]    ",マイ,いもうと,"[姉妹, 義妹, 令妹]","[しまい, ぎまい, れいいもうと]",妹,いもうと,",younger sister,woman,not yet,one,tree,wood,",",ichi,iti,onna,ki,moku,",マイ    いもうと    ,マイ    いもうと    Name Readings:  す    せ    も    ,
薄,dilute,dilute,"dilute, thin, weak (tea)",2248,4776,662,227,242,854,2,545,986,,2,2249,2249,16,1381,4,"薄い[ -うすい- ],  薄暗い[ -うすぐらい- ],  薄める[ -うすめる- ],  薄着[ -うすぎ- ],  薄弱[ -はくじゃく- ],  軽薄[ -けいはく- ]","__い[ -うすい- ],  __暗い[ -うすぐらい- ],  __める[ -うすめる- ],  __着[ -うすぎ- ],  __弱[ -はくじゃく- ],  軽__[ -けいはく- ]","薄い[ -thin, weak- ],  薄暗い[ -gloomy, dim- ],  薄める[ -dilute (something), water down- ],  薄着[ -light clothing- ],  薄弱[ -feeble; weak- ],  軽薄[ -frivolous; insincere- ]","__い[ -thin, weak- ],  __暗い[ -gloomy, dim- ],  __める[ -dilute (something), water down- ],  __着[ -light clothing- ],  __弱[ -feeble; weak- ],  軽__[ -frivolous; insincere- ]",ハク,うす-い、うす-める、うす-まる、うす-らく、うす-れる,"[薄情, 薄謝, 軽薄]","[はくじょう, はくしゃ, けいはく]",薄い; 薄まる; 薄める; 薄らく; 薄れる,うす.い; うす.まる; うす.める; うす.らく; うす.れる,",dilute,flowers,water,water droplets,water pistol,acupuncturist,specialty,drop,ten,needle,rice field,brains,glue,",",tenn,juu,sunn,mizu,sanzui,den,ta,kusa,",ハク    うす.い    うす-    -うす    うす.める    うす.まる    うす.らぐ    うす.ら-    うす.れる    すすき    ,ハク    うす.い    うす-    -うす    うす.める    うす.まる    うす.らぐ    うす.ら-    うす.れる    すすき    , DILUTE the FLOWER in pure WATER to be administered by the ACUPUNTURIST.
暮,livelihood,livelihood,"livelihood, make a living, spend time",2519,4A6B,652,232,247,1331,2,546,1342,,2,39,55,14,697,5,"暮らす[ -くらす- ],  暮らし[ -くらし- ],  暮れる[ -くれる- ],  暮れ[ -くれ- ],  夕暮れ[ -ゆうぐれ- ],  お歳暮[ -おせいぼ- ]","__らす[ -くらす- ],  __らし[ -くらし- ],  __れる[ -くれる- ],  __れ[ -くれ- ],  夕__れ[ -ゆうぐれ- ],  お歳__[ -おせいぼ- ]","暮らす[ -live, lead a life- ],  暮らし[ -living, livelihood- ],  暮れる[ -get dark- ],  暮れ[ -dusk, the end (of a season or a year)- ],  夕暮れ[ -dusk, twilight- ],  お歳暮[ -year-end gift- ]","__らす[ -live, lead a life- ],  __らし[ -living, livelihood- ],  __れる[ -get dark- ],  __れ[ -dusk, the end (of a season or a year)- ],  夕__れ[ -dusk, twilight- ],  お歳__[ -year-end gift- ]",ボ,く-れる、く-らす,"[暮春, 歳暮, 薄暮]","[くれはる, せいぼ, はくぼ]",暮らす; 暮れる,く.らす; く.れる,",livelihood,graveyard,flowers,sun,day,large,St. Bernard,sun2,day2,",",ookii,nichi,jitsu,kusa,",ボ    く.れる    く.らす    ,ボ    く.れる    く.らす    Name Readings:  ぐらし    ぐれ    ぽ    ," The happy GRAVEYARD looked its best in the SUN, due to the LIVELYHOOD of the caretakers efforts."
眺,stare,stare,"stare, watch, look at, see, scrutinize",1895,442F,717,237,252,1398,2,547,1828,,2,604,613,11,1171,2.5,"眺める[ -ながめる- ],  眺め[ -ながめ- ]    ","__める[ -ながめる- ],  __め[ -ながめ- ]    ","眺める[ -look out, gaze- ],  眺め[ -view, prospect- ]    ","__める[ -look out, gaze- ],  __め[ -view, prospect- ]    ",チョウ,なが-める,[眺望],[ちょうぼう],眺める,なが.める,",stare,eye,portent,turtle,",",kizashi,me,",チョウ    なが.める    ,チョウ    なが.める    , The witch STARED with the evil EYE to PORTENT great misfortune on kids.
犬,dog,dog,dog,756,3824,674,238,253,1046,2,548,293,276,2,2780,2780,4,1685,10,犬[ -いぬ-],__[ -いぬ-],犬[ -dog- ],__[ -dog- ],ケン,いぬ,"[犬歯, 愛犬, 野犬]","[けんし, あいけん, やけん]",犬,いぬ,",dog,large,St. Bernard,drop,",",tenn,ookii,inu,kemono,",ケン    いぬ    いぬ-    ,ケン    いぬ    いぬ-    ,
猫,cat,cat,cat,2175,472D,906,244,259,1676,2,549,1825,,2,2679,2679,11,280,2.5,"猫[ -ねこ- ],  猫背[ -ねこぜ- ],  猫舌[ -ねこじた- ]  ,  ","__[ -ねこ- ],  __背[ -ねこぜ- ],  __舌[ -ねこじた- ]  ,  ","猫[ -cat- ],  猫背[ -bent back; stoop- ],  猫舌[ -sensitive to hot food- ]  ,  ","__[ -cat- ],  __背[ -bent back; stoop- ],  __舌[ -sensitive to hot food- ]  ,  ",ビョウ,ねこ,[愛猫],[あいねこ],猫,ねこ,",cat,pack of wild dogs,seedlings,flowers,rice field,brains,",",inu,kemono,den,ta,kusa,",ビョウ    ねこ    ,ビョウ    ねこ    ,
洗,wash,wash,"wash, inquire into, probe",1590,4076,857,249,264,671,2,550,135,,2,2771,2771,9,246,5,"お手洗い[ -おてあらい- ],  洗濯[ -せんたく- ],  洗う[ -あらう- ],  洗面所[ -せんめんじょ- ],  洗濯機[ -せんたくき- ],  洗剤[ -せんざい- ]","お手__い[ -おてあらい- ],  __濯[ -せんたく- ],  __う[ -あらう- ],  __面所[ -せんめんじょ- ],  __濯機[ -せんたくき- ],  __剤[ -せんざい- ]","お手洗い[ -toilet, bathroom- ],  洗濯[ -laundry, washing- ],  洗う[ -wash- ],  洗面所[ -washroom, bathroom- ],  洗濯機[ -washing machine, washer- ],  洗剤[ -detergent- ]","お手__い[ -toilet, bathroom- ],  __濯[ -laundry, washing- ],  __う[ -wash- ],  __面所[ -washroom, bathroom- ],  __濯機[ -washing machine, washer- ],  __剤[ -detergent- ]",セン,あら-う,"[洗面, 洗練, 洗剤]","[せんめん, せんれん, せんざい]",洗う,あら.う,",wash,water,water droplets,water pistol,before,cow,human legs,",",hitoashi,hitoasi,mizu,sanzui,ushi,",セン    あら.う    ,セン    あら.う    Name Readings:  あらい    らい    , You should WASH with WATER and soap BEFORE your meal.
玉,jewel,jewel,"jewel, ball",608,364C,621,256,272,1721,2,551,73,,2,1164,1540,5,548,10,"玉ねぎ[ -たまねぎ- ],  玉[ -たま- ],  お年玉[ -おとしだま- ],  目玉商品[ -めだましょうひん- ]  ","__ねぎ[ -たまねぎ- ],  __[ -たま- ],  お年__[ -おとしだま- ],  目__商品[ -めだましょうひん- ]  ","玉ねぎ[ -onion- ],  玉[ -bead, ball- ],  お年玉[ -New Year's gift money- ],  目玉商品[ -featured product; loss leader- ]  ","__ねぎ[ -onion- ],  __[ -bead, ball- ],  お年__[ -New Year's gift money- ],  目__商品[ -featured product; loss leader- ]  ",ギョク,たま,"[玉座、玉石, 宝玉]","[ぎょくざ、ぎょくせき, たからだま]",玉,たま,",jewel,king,jewel,ball,earring,drop,",",tenn,tama,",ギョク    たま    たま-    -だま    ,ギョク    たま    たま-    -だま    Name Readings:  おう    だん    ,
宝,treasure,treasure,"treasure, wealth, valuables",2529,4A75,855,257,273,730,2,552,74,,2,225,479,8,1869,5,"宝石[ -ほうせき- ],  宝[ -たから- ],  宝くじ[ -たからくじ- ],  重宝[ -ちょうほう- ],  国宝[ -こくほう- ],  ","__石[ -ほうせき- ],  __[ -たから- ],  __くじ[ -たからくじ- ],  重__[ -ちょうほう- ],  国__[ -こくほう- ],  ","宝石[ -gem, jewel- ],  宝[ -riches; treasure- ],  宝くじ[ -public lottery- ],  重宝[ -convenience; handiness- ],  国宝[ -national treasure- ],  ","__石[ -gem, jewel- ],  __[ -riches; treasure- ],  __くじ[ -public lottery- ],  重__[ -convenience; handiness- ],  国__[ -national treasure- ],  ",ホウ,たから,"[宝石, 国宝, 財宝]","[ほうせき, こくほう, ざいほう]",宝,たから,",treasure,house,king,jewel,ball,earring,drop,",",tenn,ukanmuri,tama,",ホウ    たから    ,ホウ    たから    Name Readings:  ほ    , On treasure island is a single house - where all the  jewels are stored.
狂,lunatic,lunatic,"lunatic, insane, crazy, confuse",588,3638,753,260,277,1674,2,553,736,,2,2668,2668,7,1833,4,"狂う[ -くるう- ],  狂わす[ -くるわす- ]    ","__う[ -くるう- ],  __わす[ -くるわす- ]    ","狂う[ -become insane, get out of order- ],  狂わす[ -drive crazy- ]    ","__う[ -become insane, get out of order- ],  __わす[ -drive crazy- ]    ",キョウ,くる-う、くる-おしい,"[狂気, 狂言, 熱狂]","[きょうき, きょうげん, ねっきょう]",狂う; 狂おしい,くる.う; くる.おしい,",lunatic,pack of wild dogs,king,jewel,ball,",",inu,kemono,tama,",キョウ    くる.う    くる.おしい    くるお.しい    ,キョウ    くる.う    くる.おしい    くるお.しい    ,
皇,emperor,emperor,emperor,882,3944,763,261,279,1722,2,554,77,,2,150,306,9,1557,5,"天皇[ -てんのう- ],  皇后[ -こうごう- ]    ","天__[ -てんのう- ],  __后[ -こうごう- ]    ","天皇[ -emperor- ],  皇后[ -empress; queen- ]    ","天__[ -emperor- ],  __后[ -empress; queen- ]    ",コウ、オウ,,"[皇帝, 皇室, 皇后];  [法皇]","[こうてい, こうしつ, こうごう]; [ほうおう]",,,",emperor,white,dove,king,jewel,ball,",",tama,shiro,",コウ    オウ    ,コウ    オウ    Name Readings:  おうじ    おお    み    ,
注,pour,pour,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate",1863,436D,507,267,285,491,2,555,368,181,2,2029,2029,8,1128,8,"注意[ -ちゅうい- ],  注目[ -ちゅうもく- ],  注文[ -ちゅうもん- ],  注射[ -ちゅうしゃ- ],  注ぐ[ -そそぐ- ],  注意深い[ -ちゅういぶかい- ]","__意[ -ちゅうい- ],  __目[ -ちゅうもく- ],  __文[ -ちゅうもん- ],  __射[ -ちゅうしゃ- ],  __ぐ[ -そそぐ- ],  __意深い[ -ちゅういぶかい- ]","注意[ -attention, care- ],  注目[ -attention, notice- ],  注文[ -order- ],  注射[ -injection, shot- ],  注ぐ[ -pour- ],  注意深い[ -careful- ]","__意[ -attention, care- ],  __目[ -attention, notice- ],  __文[ -order- ],  __射[ -injection, shot- ],  __ぐ[ -pour- ],  __意深い[ -careful- ]",チュウ,そそ-ぐ,"[注入, 注意, 発注]","[ちゅうにゅう, ちゅうい, はっちゅう]",注ぐ,そそ.ぐ,",pour,water,water droplets,water pistol,candlestick,lord,drop,king,jewel,ball,",",tenn,mizu,sanzui,tama,",チュウ    そそ.ぐ    さ.す    つ.ぐ    ,チュウ    そそ.ぐ    さ.す    つ.ぐ    ,
造,create,create,"create, make, structure, physique",1696,4224,505,281,299,325,2,556,699,,2,1080,972,9,928,6,"構造[ -こうぞう- ],  製造[ -せいぞう- ],  改造[ -かいぞう- ],  木造[ -もくぞう- ],  創造[ -そうぞう- ],  人造[ -じんぞう- ]","構__[ -こうぞう- ],  製__[ -せいぞう- ],  改__[ -かいぞう- ],  木__[ -もくぞう- ],  創__[ -そうぞう- ],  人__[ -じんぞう- ]","構造[ -construction, structure- ],  製造[ -production, manufacturing- ],  改造[ -reconstruction, reorganization- ],  木造[ -being made of wood, wooden (things)- ],  創造[ -creation- ],  人造[ -artificial; man-made- ]","構__[ -construction, structure- ],  製__[ -production, manufacturing- ],  改__[ -reconstruction, reorganization- ],  木__[ -being made of wood, wooden (things)- ],  創__[ -creation- ],  人__[ -artificial; man-made- ]",ゾウ,つく-る,"[造船, 造花, 構造]","[ぞうせん, ぞうか, こうぞう]",造る,つく.る,",create,revelation,cow,mouth,road,",",kuchi,kuti,ushi,shinnyou,",ゾウ    つく.る    つく.り    -づく.り    ,ゾウ    つく.る    つく.り    -づく.り    Name Readings:  ずくり    づくり    み    ,
迫,urge,urge,"urge, force, imminent, spur on",2249,4777,869,282,300,857,2,557,1182,,2,3040,3040,7,91,4,"迫る[ -せまる- ],  迫力[ -はくりょく- ],  圧迫[ -あっぱく- ],  脅迫[ -きょうはく- ],  迫害[ -はくがい- ],  緊迫[ -きんぱく- ]","__る[ -せまる- ],  __力[ -はくりょく- ],  圧__[ -あっぱく- ],  脅__[ -きょうはく- ],  __害[ -はくがい- ],  緊__[ -きんぱく- ]","迫る[ -close in on, approach- ],  迫力[ -force; power; punch- ],  圧迫[ -oppress; press- ],  脅迫[ -intimidation; threat- ],  迫害[ -persecution- ],  緊迫[ -strain; tension- ]","__る[ -close in on, approach- ],  __力[ -force; power; punch- ],  圧__[ -oppress; press- ],  脅__[ -intimidation; threat- ],  __害[ -persecution- ],  緊__[ -strain; tension- ]",ハク,せま-る,"[迫害, 脅迫, 切迫]","[はくがい, きょうはく, せっぱく]",迫る,せま.る,",urge,white,dove,road,",",shiro,shinnyou,",ハク    せま.る    ,ハク    せま.る    Name Readings:  さこ    せ    せこ    はさ    はさま    はざま    ,
辺,environs,environs,"environs, boundary, border, vicinity",2497,4A55,600,284,302,742,2,558,195,,2,348,377,4,1821,7,"辺[ -へん- ],  周辺[ -しゅうへん- ],  辺り[ -あたり- ],  浜辺[ -はまべ- ],  海辺[ -うみべ- ],  天辺[ -てっぺん- ]","__[ -へん- ],  周__[ -しゅうへん- ],  __り[ -あたり- ],  浜__[ -はまべ- ],  海__[ -うみべ- ],  天__[ -てっぺん- ]","辺[ -vicinity- ],  周辺[ -area, region- ],  辺り[ -vicinity, around- ],  浜辺[ -beach, seashore- ],  海辺[ -beach; seaside- ],  天辺[ -summit; top- ]","__[ -vicinity- ],  周__[ -area, region- ],  __り[ -vicinity, around- ],  浜__[ -beach, seashore- ],  海__[ -beach; seaside- ],  天__[ -summit; top- ]",ヘン,あた-り、べ,"[辺境, 周辺, その辺];  [海辺, 岸辺]","[へんきょう, しゅうへん, そのへん]; [うみべ, きしべ]",辺り; 辺,あた.り; べ,",environs,dagger,sword,road,",",katana,shinnyou,",ヘン    あた.り    ほと.り    -べ    ,ヘン    あた.り    ほと.り    -べ    Name Readings:  なべ    ,
